Words shared by at least 6 categories (frequency per category):
---------------------------------------------------------------
then: Personal Life / Past: 149, Coding: 471, Digital Media: 148, MBTI: 463, psychology: 185, translate: 294, Transcripts: 530
people: Personal Life / Past: 278, Coding: 23, Digital Media: 2, MBTI: 759, psychology: 383, translate: 152, Transcripts: 593
get: Personal Life / Past: 123, Coding: 566, Digital Media: 60, MBTI: 415, psychology: 154, translate: 478, Transcripts: 391
self: Personal Life / Past: 622, Coding: 8, Digital Media: 6, MBTI: 718, psychology: 373, translate: 145, Transcripts: 239
social: Personal Life / Past: 525, Coding: 1, MBTI: 862, psychology: 414, translate: 136, Transcripts: 172
script: Personal Life / Past: 2, Coding: 1157, Digital Media: 302, MBTI: 18, psychology: 5, translate: 376, Transcripts: 230
being: Personal Life / Past: 395, Coding: 104, Digital Media: 11, MBTI: 688, psychology: 267, translate: 266, Transcripts: 341
time: Personal Life / Past: 221, Coding: 286, Digital Media: 53, MBTI: 597, psychology: 202, translate: 266, Transcripts: 375
button: Personal Life / Past: 1, Coding: 1045, Digital Media: 432, MBTI: 3, psychology: 1, translate: 478, Transcripts: 31
know: Personal Life / Past: 129, Coding: 114, Digital Media: 13, MBTI: 496, psychology: 282, translate: 199, Transcripts: 707
would: Personal Life / Past: 199, Coding: 126, Digital Media: 43, MBTI: 545, psychology: 165, translate: 375, Transcripts: 439
way: Personal Life / Past: 248, Coding: 86, Digital Media: 20, MBTI: 706, psychology: 216, translate: 231, Transcripts: 380
he: Personal Life / Past: 162, Coding: 161, MBTI: 588, psychology: 132, translate: 312, Transcripts: 510
up: Personal Life / Past: 182, Coding: 263, Digital Media: 51, MBTI: 513, psychology: 157, translate: 262, Transcripts: 432
will: Personal Life / Past: 91, Coding: 401, Digital Media: 102, MBTI: 386, psychology: 84, translate: 359, Transcripts: 435
here: Personal Life / Past: 137, Coding: 323, Digital Media: 99, MBTI: 464, psychology: 201, translate: 360, Transcripts: 269
new: Personal Life / Past: 74, Coding: 561, Digital Media: 83, MBTI: 284, psychology: 105, translate: 430, Transcripts: 313
der: Personal Life / Past: 44, Coding: 6, Digital Media: 5, MBTI: 582, psychology: 158, translate: 533, Transcripts: 483
use: Personal Life / Past: 50, Coding: 686, Digital Media: 122, MBTI: 233, psychology: 118, translate: 430, Transcripts: 159
than: Personal Life / Past: 317, Coding: 96, Digital Media: 37, MBTI: 628, psychology: 252, translate: 181, Transcripts: 266
out: Personal Life / Past: 172, Coding: 123, Digital Media: 40, MBTI: 571, psychology: 203, translate: 188, Transcripts: 456
also: Personal Life / Past: 183, Coding: 116, Digital Media: 48, MBTI: 566, psychology: 217, translate: 224, Transcripts: 384
could: Personal Life / Past: 273, Coding: 92, Digital Media: 26, MBTI: 531, psychology: 203, translate: 279, Transcripts: 315
some: Personal Life / Past: 201, Coding: 114, Digital Media: 33, MBTI: 515, psychology: 261, translate: 218, Transcripts: 359
example: Personal Life / Past: 84, Coding: 445, Digital Media: 73, MBTI: 343, psychology: 167, translate: 363, Transcripts: 213
ich: Personal Life / Past: 99, Coding: 34, Digital Media: 27, MBTI: 383, psychology: 147, translate: 535, Transcripts: 453
chat: Personal Life / Past: 1, Coding: 748, Digital Media: 2, MBTI: 9, psychology: 7, translate: 453, Transcripts: 456
don: Personal Life / Past: 228, Coding: 83, Digital Media: 16, MBTI: 580, psychology: 204, translate: 130, Transcripts: 434
links: Personal Life / Past: 3, Coding: 606, MBTI: 9, psychology: 16, translate: 513, Transcripts: 519
feel: Personal Life / Past: 412, Coding: 65, Digital Media: 9, MBTI: 677, psychology: 116, translate: 172, Transcripts: 200
ti: Personal Life / Past: 133, Coding: 1, MBTI: 882, psychology: 259, translate: 126, Transcripts: 249
who: Personal Life / Past: 173, Coding: 46, MBTI: 564, psychology: 215, translate: 247, Transcripts: 399
path: Personal Life / Past: 25, Coding: 892, Digital Media: 282, MBTI: 46, psychology: 20, translate: 353, Transcripts: 18
often: Personal Life / Past: 264, Coding: 18, Digital Media: 10, MBTI: 638, psychology: 319, translate: 199, Transcripts: 163
no: Personal Life / Past: 113, Coding: 309, Digital Media: 70, MBTI: 351, psychology: 121, translate: 256, Transcripts: 388
her: Personal Life / Past: 639, Coding: 18, MBTI: 622, psychology: 77, translate: 89, Transcripts: 153
each: Personal Life / Past: 43, Coding: 531, Digital Media: 116, MBTI: 271, psychology: 116, translate: 349, Transcripts: 169
name: Personal Life / Past: 10, Coding: 700, Digital Media: 357, MBTI: 59, psychology: 22, translate: 339, Transcripts: 91
4o: Personal Life / Past: 256, Coding: 53, Digital Media: 20, MBTI: 553, psychology: 200, translate: 293, Transcripts: 200
let: Personal Life / Past: 144, Coding: 353, Digital Media: 26, MBTI: 279, psychology: 85, translate: 354, Transcripts: 327
other: Personal Life / Past: 106, Coding: 208, Digital Media: 80, MBTI: 443, psychology: 189, translate: 238, Transcripts: 290
while: Personal Life / Past: 193, Coding: 159, Digital Media: 68, MBTI: 477, psychology: 224, translate: 220, Transcripts: 206
even: Personal Life / Past: 249, Coding: 51, Digital Media: 17, MBTI: 534, psychology: 201, translate: 144, Transcripts: 330
need: Personal Life / Past: 159, Coding: 302, Digital Media: 59, MBTI: 342, psychology: 131, translate: 283, Transcripts: 247
where: Personal Life / Past: 186, Coding: 162, Digital Media: 32, MBTI: 462, psychology: 181, translate: 202, Transcripts: 297
has: Personal Life / Past: 103, Coding: 209, Digital Media: 63, MBTI: 349, psychology: 161, translate: 278, Transcripts: 358
she: Personal Life / Past: 487, Coding: 16, MBTI: 576, psychology: 84, translate: 113, Transcripts: 211
using: Personal Life / Past: 24, Coding: 604, Digital Media: 115, MBTI: 151, psychology: 61, translate: 403, Transcripts: 120
type: Personal Life / Past: 52, Coding: 427, Digital Media: 83, MBTI: 306, psychology: 130, translate: 336, Transcripts: 124
his: Personal Life / Past: 84, Coding: 84, Digital Media: 4, MBTI: 588, psychology: 111, translate: 214, Transcripts: 337
any: Personal Life / Past: 100, Coding: 307, Digital Media: 81, MBTI: 320, psychology: 97, translate: 267, Transcripts: 245
max: Personal Life / Past: 2, Coding: 788, Digital Media: 1, MBTI: 2, translate: 562, Transcripts: 54
something: Personal Life / Past: 206, Coding: 48, Digital Media: 15, MBTI: 470, psychology: 201, translate: 132, Transcripts: 336
ve: Personal Life / Past: 274, Coding: 68, Digital Media: 26, MBTI: 491, psychology: 138, translate: 146, Transcripts: 253
thinking: Personal Life / Past: 164, Coding: 2, Digital Media: 1, MBTI: 633, psychology: 292, translate: 120, Transcripts: 176
right: Personal Life / Past: 91, Coding: 323, Digital Media: 203, MBTI: 288, psychology: 109, translate: 125, Transcripts: 231
now: Personal Life / Past: 122, Coding: 196, Digital Media: 51, MBTI: 352, psychology: 96, translate: 173, Transcripts: 321
its: Personal Life / Past: 40, Coding: 249, Digital Media: 81, MBTI: 279, psychology: 138, translate: 273, Transcripts: 249
through: Personal Life / Past: 133, Coding: 110, Digital Media: 42, MBTI: 435, psychology: 206, translate: 158, Transcripts: 222
e: Personal Life / Past: 70, Coding: 371, Digital Media: 130, MBTI: 227, psychology: 126, translate: 259, Transcripts: 105
create: Personal Life / Past: 34, Coding: 555, Digital Media: 71, MBTI: 139, psychology: 51, translate: 315, Transcripts: 115
want: Personal Life / Past: 145, Coding: 162, Digital Media: 44, MBTI: 359, psychology: 146, translate: 114, Transcripts: 307
think: Personal Life / Past: 94, Coding: 24, Digital Media: 1, MBTI: 471, psychology: 141, translate: 88, Transcripts: 458
without: Personal Life / Past: 170, Coding: 174, Digital Media: 78, MBTI: 354, psychology: 132, translate: 191, Transcripts: 177
zu: Personal Life / Past: 92, Coding: 7, Digital Media: 1, MBTI: 398, psychology: 167, translate: 337, Transcripts: 271
make: Personal Life / Past: 158, Coding: 156, Digital Media: 72, MBTI: 401, psychology: 128, translate: 148, Transcripts: 190
data: Personal Life / Past: 5, Coding: 432, Digital Media: 12, MBTI: 185, psychology: 109, translate: 317, Transcripts: 186
das: Personal Life / Past: 76, Coding: 16, Digital Media: 9, MBTI: 389, psychology: 78, translate: 199, Transcripts: 468
ist: Personal Life / Past: 58, Coding: 13, Digital Media: 3, MBTI: 376, psychology: 119, translate: 248, Transcripts: 403
after: Personal Life / Past: 79, Coding: 358, Digital Media: 62, MBTI: 177, psychology: 66, translate: 247, Transcripts: 227
over: Personal Life / Past: 165, Coding: 62, Digital Media: 16, MBTI: 413, psychology: 178, translate: 110, Transcripts: 271
values: Personal Life / Past: 73, Coding: 364, Digital Media: 90, MBTI: 262, psychology: 82, translate: 287, Transcripts: 53
value: Personal Life / Past: 76, Coding: 534, Digital Media: 28, MBTI: 145, psychology: 82, translate: 299, Transcripts: 44
things: Personal Life / Past: 128, Coding: 9, Digital Media: 4, MBTI: 477, psychology: 167, translate: 78, Transcripts: 322
am: Personal Life / Past: 134, Coding: 21, Digital Media: 6, MBTI: 434, psychology: 50, translate: 340, Transcripts: 198
functions: Personal Life / Past: 52, Coding: 81, Digital Media: 1, MBTI: 619, psychology: 158, translate: 157, Transcripts: 100
sie: Personal Life / Past: 11, Coding: 1, MBTI: 354, psychology: 46, translate: 468, Transcripts: 288
different: Personal Life / Past: 68, Coding: 145, Digital Media: 29, MBTI: 384, psychology: 163, translate: 217, Transcripts: 161
high: Personal Life / Past: 162, Coding: 137, Digital Media: 65, MBTI: 321, psychology: 152, translate: 154, Transcripts: 174
both: Personal Life / Past: 90, Coding: 154, Digital Media: 64, MBTI: 341, psychology: 126, translate: 191, Transcripts: 179
